Date ,Open ,High ,Low ,Close ,Shares Traded ,Turnover (₹ Cr)
03-JUN-2019,8459.85,8547.35,8371.95,8536.6,19182139,1251.03
04-JUN-2019,8524.8,8602.05,8342.85,8432.95,16638900,1530.82
06-JUN-2019,8464.35,8466.5,8262.1,8279.1,19430068,1382.21
07-JUN-2019,8274.7,8289.85,8096.55,8179.6,23025772,1459.39
10-JUN-2019,8215.05,8265.4,8185.4,8246.7,16511501,996.81
11-JUN-2019,8237.85,8277.3,8114.5,8243.5,31240557,1685.57
12-JUN-2019,8243.9,8262.6,8137.3,8179.15,21120116,1120.51
13-JUN-2019,8163.45,8193.7,8062.55,8148.55,16851271,951.53
14-JUN-2019,8138.05,8142.95,7954.6,8083.55,26954806,1498.65
17-JUN-2019,8098.3,8131.2,7962.5,7975.25,17733198,1159.73
18-JUN-2019,7980.15,8032.35,7878.8,7916.95,17433336,1168.4
19-JUN-2019,7943.45,7958.1,7753.75,7790.5,22718386,1469.62
20-JUN-2019,7758.8,8043.3,7737.0,8029.0,21697549,1435.29
21-JUN-2019,8011.5,8033.3,7895.1,7911.55,26019026,1771.54
24-JUN-2019,7921.55,7935.75,7867.8,7902.0,26137478,1617.9
25-JUN-2019,7889.3,7961.55,7847.1,7947.2,24324361,1664.71
26-JUN-2019,7927.5,8121.25,7915.0,8086.3,28569020,1693.96
27-JUN-2019,8080.15,8140.95,8018.25,8088.0,23371314,1611.36
28-JUN-2019,8116.8,8202.65,8031.35,8065.15,22234676,1487.48
01-JUL-2019,8085.4,8192.45,8085.35,8178.8,12208252,914.03
02-JUL-2019,8185.4,8198.3,8068.0,8101.65,14258904,875.67
03-JUL-2019,8120.75,8120.75,8032.25,8092.2,16079644,1131.39
04-JUL-2019,8099.45,8138.9,8035.15,8046.8,16010962,1384.78
05-JUL-2019,8058.65,8082.7,7911.2,7926.5,16991468,1285.88
08-JUL-2019,7862.8,7922.0,7791.1,7801.75,19677002,1155.4
09-JUL-2019,7810.15,8053.45,7795.25,8012.05,28911612,1585.96
10-JUL-2019,8011.8,8060.7,7963.25,8009.5,20168825,1159.64
11-JUL-2019,8068.3,8152.9,8049.7,8110.05,23319681,1446.57
12-JUL-2019,8132.4,8189.0,8083.9,8144.3,25154226,1382.94
15-JUL-2019,8198.75,8276.55,8151.75,8231.85,30224279,1824.38
16-JUL-2019,8227.35,8360.15,8194.9,8347.95,23479056,1417.21
17-JUL-2019,8351.95,8363.75,8288.5,8330.75,19417871,1143.04
18-JUL-2019,8328.0,8329.95,8207.2,8223.15,16074397,1037.27
19-JUL-2019,8253.75,8288.0,8029.95,8040.1,31688302,1450.26
22-JUL-2019,8028.5,8189.2,7976.05,8120.85,24478258,1294.2
23-JUL-2019,8142.05,8165.05,8043.25,8063.65,18082819,1050.29
24-JUL-2019,8057.15,8071.25,7890.2,7920.65,16878490,1057.97
25-JUL-2019,7942.5,8116.6,7931.4,8094.35,26921697,1535.3
26-JUL-2019,8113.4,8210.1,8050.05,8178.9,23004486,1225.91
29-JUL-2019,8177.15,8184.0,7994.15,8039.8,17179701,1099.68
30-JUL-2019,8039.45,8205.25,7853.6,7877.75,29027907,2318.06
31-JUL-2019,7857.6,7999.6,7801.85,7987.5,23027885,1480.7
01-AUG-2019,7945.05,7963.15,7790.1,7878.75,16884959,1132.56
02-AUG-2019,7841.95,7963.95,7781.85,7868.2,19837745,1171.25
05-AUG-2019,7819.9,7881.85,7735.05,7807.95,17966004,1044.29
06-AUG-2019,7790.9,7905.9,7783.75,7818.5,20752016,1265.03
07-AUG-2019,7833.7,7959.95,7823.75,7879.75,25438202,1419.17
08-AUG-2019,7919.1,7994.1,7854.2,7964.8,33150899,1966.16
09-AUG-2019,8014.95,8049.1,7896.4,7924.05,23404494,1404.91
13-AUG-2019,7909.3,7984.85,7789.15,7851.95,32144659,1943.19
14-AUG-2019,7859.1,7866.2,7550.55,7744.3,36682894,2150.76
16-AUG-2019,7738.35,7756.6,7636.2,7684.3,24314700,1335.36
19-AUG-2019,7770.3,7851.15,7727.55,7741.35,27026444,1398.59
20-AUG-2019,7764.85,7772.1,7676.45,7749.7,24848681,1141.64
21-AUG-2019,7732.95,7765.0,7660.65,7677.25,21929032,1084.83
22-AUG-2019,7667.8,7746.35,7630.2,7670.85,21414739,1075.46
23-AUG-2019,7669.0,7793.0,7554.7,7780.55,19976325,1096.98
26-AUG-2019,7834.95,7858.0,7690.75,7824.3,20959542,1215.92
27-AUG-2019,7869.25,7896.3,7804.2,7812.1,23416802,1365.94
28-AUG-2019,7824.5,7897.1,7701.35,7738.65,17740897,962.62
29-AUG-2019,7802.0,7933.45,7742.15,7912.5,33594732,1828.44
30-AUG-2019,7916.3,8112.55,7875.85,8072.05,26149402,1548.64
03-SEP-2019,8032.9,8104.7,7939.7,7976.45,23724430,1342.65
04-SEP-2019,7931.6,7985.0,7768.0,7967.65,48471288,2434.02
05-SEP-2019,7998.95,8086.55,7969.1,8071.75,21299409,1320.79
06-SEP-2019,8028.5,8084.65,7966.2,8068.75,26418573,1531.05
09-SEP-2019,8067.4,8130.9,8047.5,8077.9,15734592,969.21
11-SEP-2019,8107.65,8157.85,8053.1,8082.9,19802529,1234.64
12-SEP-2019,8113.25,8168.5,8040.25,8102.15,21037191,1150.51
13-SEP-2019,8141.4,8141.7,7974.65,8033.05,20150637,1388.06
16-SEP-2019,8005.3,8119.4,7978.15,8070.65,17790093,1185.18
17-SEP-2019,8082.05,8106.0,7919.2,7933.85,14025483,889.54
18-SEP-2019,7973.95,7984.05,7882.55,7923.45,13303904,787.3
19-SEP-2019,7922.4,7938.75,7777.75,7799.6,14945082,931.67
20-SEP-2019,7839.55,8018.4,7745.55,7983.55,31980005,1872.1
